date,country,confirmed,deaths,death_rate,new_cases,new_deaths,acceleration_cases,acceleration_deaths,days_since_100,days_since_10,double_5_cases,double_1_deaths,double_20_cases,double_3_cases,double_3_deaths,double_5_deaths,double_1_cases,double_10_deaths,double_10_cases,double_20_deaths
2020-03-20,US: Louisiana,537.0,10.0,0.0186219739292365,145.0,0.0,33.0,-3.0,6,0,205.99999999999986,0.0,122.48833284528031,327.0046167054491,0.0,0.0,3296.0,0.0,145.66399692442877,0.0
2020-03-21,US: Louisiana,763.0,16.0,0.020969855832241154,226.0,6.0,81.0,6.0,7,1,236.63186112938902,16.0,126.80787457452642,412.00000000000006,16.0,16.0,6592.0,16.0,156.118806350571,16.0
2020-03-22,US: Louisiana,837.0,20.0,0.023894862604540025,74.0,4.0,-152.0,-2.0,8,2,271.818629619216,32.0,131.27974461388405,519.0874725566878,20.15873679831797,18.379173679952558,13184.0,17.14837540058069,167.3239936493845,16.56423878146204
2020-03-23,US: Louisiana,1172.0,34.0,0.02901023890784983,335.0,14.0,261.0,10.0,9,3,312.2376127011417,64.0,135.90931480960816,654.0092334108982,25.398416831491193,21.112126572366304,26368.0,18.379173679952558,179.33341603900155,17.148375400580694
2020-03-24,US: Louisiana,1388.0,46.0,0.03314121037463977,216.0,12.0,-119.0,-2.0,10,4,358.66683207800276,128.0,140.7021464457028,824.0000000000001,32.0,24.25146506416636,52736.0,19.698310613518657,192.20479625658228,17.753111553085525
2020-03-25,US: Louisiana,1795.0,65.0,0.036211699164345405,407.0,19.0,191.0,7.0,11,5,411.9999999999995,256.0,145.66399692442886,1038.1749451133755,40.31747359663594,27.857618025475958,105472.0,21.112126572366304,205.99999999999994,18.379173679952565
2020-03-26,US: Louisiana,2305.0,83.0,0.03600867678958785,510.0,18.0,103.0,-1.0,12,6,473.26372225877776,512.0,150.8008266823995,1308.0184668217964,50.79683366298239,31.99999999999998,210944.0,22.627416997969515,220.78533328247633,19.027313840043544
2020-03-27,US: Louisiana,2746.0,119.0,0.04333576110706482,441.0,36.0,-69.0,18.0,13,7,543.6372592384316,1024.0,156.1188063505711,1648.0000000000002,64.0,36.758347359905095,421888.0,24.251465064166364,236.63186112938914,19.698310613518668
2020-03-28,US: Louisiana,3315.0,137.0,0.04132730015082956,569.0,18.0,128.0,-18.0,14,8,624.4752254022831,2048.0,161.62432416673076,2076.349890226751,80.63494719327188,42.22425314473258,843776.0,25.99207668339953,253.61574914905268,20.392970037108203
2020-03-29,US: Louisiana,3540.0,152.0,0.04293785310734463,225.0,15.0,-344.0,-3.0,15,9,717.3336641560052,4096.0,167.32399364938465,2616.036933643593,101.59366732596477,48.50293012833269,1.687552e6,27.857618025475965,271.8186296192161,21.112126572366318
