date,country,metric,point_forecast,lo_80,hi_80,lo_95,hi_95,population
2021-12-24,China: Liaoning,cases,788.0058762201329,763.1363634378644,812.8753890024014,749.9712386161508,826.040513824115,4.3746323e7
2021-12-25,China: Liaoning,cases,788.0063045545497,759.4404127620948,816.5721963470047,744.3185430904313,831.6940660186682,4.3746323e7
2021-12-26,China: Liaoning,cases,788.0066674718852,755.8222237495543,820.1911111942161,738.7848083956034,837.228526548167,4.3746323e7
2021-12-27,China: Liaoning,cases,788.0069749629182,752.2927753656907,823.7211745601458,733.3868201215523,842.6271298042841,4.3746323e7
2021-12-28,China: Liaoning,cases,788.0072354925933,748.8581875152249,827.1562834699616,728.1339333737935,847.880537611393,4.3746323e7
2021-12-29,China: Liaoning,cases,788.0074562330515,745.521198071894,830.493714394209,723.0303315721699,852.9845808939331,4.3746323e7
2021-12-30,China: Liaoning,cases,788.0076432610739,742.2821915203616,833.7330950017862,718.0765995183776,857.9386870037702,4.3746323e7
2021-12-31,China: Liaoning,cases,788.0078017253693,739.1399277505903,836.8756757001482,713.2708379022185,862.74476554852,4.3746323e7
2022-01-01,China: Liaoning,cases,788.0079359883133,736.0920642246533,839.9238077519733,708.6094618117919,867.4064101648347,4.3746323e7
2022-01-02,China: Liaoning,cases,788.0080497460409,733.1355325868857,842.8805669051961,704.087776645444,871.9283228466378,4.3746323e7
2022-01-03,China: Liaoning,cases,788.0081461301971,730.2668110542318,845.7494812061625,699.7003946429918,876.3158976174025,4.3746323e7
2022-01-04,China: Liaoning,cases,788.008227794149,727.482121280203,848.5343343080949,695.4415359175274,880.5749196707706,4.3746323e7
2022-01-05,China: Liaoning,cases,788.0082969860294,724.7775700050387,851.2390239670202,691.305245051976,884.7113489200829,4.3746323e7
2022-01-06,China: Liaoning,cases,788.0083556106273,722.1492500956105,853.8674611256441,687.2855455935348,888.7311656277197,4.3746323e7
2021-12-18,China: Liaoning,deaths,2.0,1.9310118679518802,2.06898813204812,1.8944917568591564,2.1055082431408434,4.3746323e7
2021-12-19,China: Liaoning,deaths,2.0,1.9024376982929523,2.0975623017070477,1.8507913354907533,2.1492086645092465,4.3746323e7
2021-12-20,China: Liaoning,deaths,2.0,1.8805080685328979,2.119491931467102,1.8172528609731564,2.182747139026844,4.3746323e7
2021-12-21,China: Liaoning,deaths,2.0,1.8620181511005958,2.137981848899404,1.788974972498937,2.211025027501063,4.3746323e7
2021-12-22,China: Liaoning,deaths,2.0,1.8457265424248668,2.154273457575133,1.7640591071423368,2.235940892857663,4.3746323e7
2021-12-23,China: Liaoning,deaths,2.0,1.830996582285609,2.169003417714391,1.741531577121032,2.258468422878968,4.3746323e7
2021-12-24,China: Liaoning,deaths,2.0,1.8174500696662168,2.182549930333783,1.720813973893851,2.279186026106149,4.3746323e7
2021-12-25,China: Liaoning,deaths,2.0,1.804840585664105,2.1951594143358952,1.7015294322708452,2.298470567729155,4.3746323e7
2021-12-26,China: Liaoning,deaths,2.0,1.7929969644845956,2.2070030355154047,1.6834161767589535,2.3165838232410465,4.3746323e7
2021-12-27,China: Liaoning,deaths,2.0,1.7817945774621524,2.2182054225378476,1.6662836042623197,2.3337163957376803,4.3746323e7
2021-12-28,China: Liaoning,deaths,2.0,1.7711393357018708,2.2288606642981295,1.6499878182337298,2.3500121817662705,4.3746323e7
2021-12-29,China: Liaoning,deaths,2.0,1.7609581372021443,2.2390418627978557,1.6344170188094886,2.3655829811905114,4.3746323e7
2021-12-30,China: Liaoning,deaths,2.0,1.7511928437547308,2.2488071562452694,1.6194822912729796,2.3805177087270204,4.3746323e7
2021-12-31,China: Liaoning,deaths,2.0,1.7417963134735595,2.2582036865264405,1.605111538331088,2.394888461668912,4.3746323e7
2022-01-01,China: Liaoning,deaths,2.0,1.7327296914440327,2.2672703085559673,1.5912453365198806,2.4087546634801194,4.3746323e7
2022-01-02,China: Liaoning,deaths,2.0,1.723960502726154,2.276039497273846,1.5778340197045688,2.422165980295431,4.3746323e7
2022-01-03,China: Liaoning,deaths,2.0,1.7154612750953604,2.28453872490464,1.5648355727433778,2.4351644272566224,4.3746323e7
2022-01-04,China: Liaoning,deaths,2.0,1.7072085220457267,2.2927914779542733,1.552214076125166,2.447785923874834,4.3746323e7
2022-01-05,China: Liaoning,deaths,2.0,1.6991819771571275,2.3008180228428725,1.5399385350350474,2.460061464964953,4.3746323e7
2022-01-06,China: Liaoning,deaths,2.0,1.691364007815969,2.308635992184031,1.5279819827176249,2.472018017282375,4.3746323e7
2021-12-18,China: Liaoning,recovered,-0.00023475599531347854,-20.997009977355827,20.996540465365197,-32.11203137173392,32.11156185974329,4.3746323e7
2021-12-19,China: Liaoning,recovered,-0.000453945376806535,-29.728688688798155,29.727780798044538,-45.46586555079876,45.46495766004515,4.3746323e7
2021-12-20,China: Liaoning,recovered,-0.0006596316170722034,-36.50378690584468,36.502467642610526,-55.82737523487457,55.82605597164042,4.3746323e7
2021-12-21,China: Liaoning,recovered,-0.000852646575855535,-42.26989933327878,42.268194040127064,-64.64578102413523,64.64407573098353,4.3746323e7
2021-12-22,China: Liaoning,recovered,-0.001033770866260242,-47.393463887986904,47.39139634625439,-72.48150093795596,72.47943339622344,4.3746323e7
2021-12-23,China: Liaoning,recovered,-0.0012037370117932154,-52.06171154574028,52.059304071716696,-79.62087965587591,79.61847218185233,4.3746323e7
2021-12-24,China: Liaoning,recovered,-0.001363232408919614,-56.385377324004345,56.382650859186505,-86.23327140877944,86.2305449439616,4.3746323e7
2021-12-25,China: Liaoning,recovered,-0.0015129021071100248,-60.43627976561445,60.43325396140023,-92.42851283808959,92.42548703387537,4.3746323e7
2021-12-26,China: Liaoning,recovered,-0.0016533514176230808,-64.26407714804012,64.26077044520488,-98.2825494050274,98.27924270219216,4.3746323e7
2021-12-27,China: Liaoning,recovered,-0.0017851483615742686,-67.90476790980354,67.90119761308038,-103.85043566966489,103.84686537294174,4.3746323e7
2021-12-28,China: Liaoning,recovered,-0.0019088259671916903,-71.38541792313313,71.38160027119875,-109.17356502934248,109.1697473774081,4.3746323e7
2021-12-29,China: Liaoning,recovered,-0.002024884425549598,-74.72697764115716,74.72292787230606,-114.28397817236284,114.27992840351173,4.3746323e7
2021-12-30,China: Liaoning,recovered,-0.00213379311349817,-77.94605422894804,77.94178664272104,-119.20707331747208,119.20280573124508,4.3746323e7
2021-12-31,China: Liaoning,recovered,-0.002235992491970883,-81.05607593153745,81.0516039465535,-123.96338696006461,123.95891497508066,4.3746323e7
2022-01-01,China: Liaoning,recovered,-0.0023318958873468406,-84.06808503589107,84.06342124411637,-128.56980660192798,128.56514281015328,4.3746323e7
